village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5,urgency_score,geo_area_ha,population_density_per_ha,male_population,female_population,pct_forest,pct_barren_uncultivable,pct_net_sown,pct_fallow,pct_pastures,irrigation_coverage_pct,road_connectivity_score,healthcare_access_score,drainage_quality_score,nearest_town_dist_km,district_hq_dist_km,tapwater_treated,tubewell_borehole,river_canal_present,surface_water_exposure,elevation_m_EXTERNAL_TOFILL,distance_to_river_km_EXTERNAL_TOFILL,rainfall_24hr_max_mm_EXTERNAL_TOFILL,flood_hazard_score_TARGET,runoff_coefficient_EXTERNAL_TOFILL,flood_hazard_score_FROM_MODEL1,erosion_risk_score_FROM_MODEL2,cloudburst_exceedance_probability_FROM_MODEL3,landslide_susceptibility_score_FROM_MODEL4,relocation_urgency_index,vulnerability_ratio,hazard_x_density,distance_x_risk,water_risk
521117,Vasnaref,Padra,22.08068,72.97523,407.0,88.0,15.97,0.567,Medium (Mitigation),230.769,434.0,0.938,211.0,196.0,0.0,3.23,85.94,0.0,5.07,71.85,2,0,1,16.0,51.0,0.0,1.0,1.0,1,90.0,0.621,245.6,0.506,0.48,0.506,0.98,0.899,0.586,230.76899999999998,7.604761904761904,0.5318459999999999,9.072,0.506
521119,Sokhdaraghu,Padra,22.064954,72.97663,2015.0,397.0,18.46,0.643,Medium (Mitigation),1295.645,351.0,5.741,1028.0,987.0,0.0,0.57,87.78,0.0,5.11,16.5,2,0,1,15.0,51.0,0.0,1.0,1.0,1,97.5,0.569,247.2,0.527,0.62,0.527,0.98,0.95,0.626,1295.645,8.790476190476191,3.6914629999999997,9.645,0.527
519899,Kashipura,Vadodara Rural,22.116365,73.166323,1117.0,241.0,50.49,0.563,Medium (Mitigation),628.871,469.0,2.382,578.0,539.0,0.0,0.84,84.63,12.63,1.47,55.97,2,1,2,8.0,22.0,0.0,1.0,0.0,1,95.0,2.125,246.4,0.402,0.52,0.402,0.98,0.935,0.606,628.871,24.042857142857144,1.3410659999999999,4.504,0.402
519898,Sarar,Vadodara Rural,22.104863,73.149804,2480.0,518.0,28.59,0.598,Medium (Mitigation),1483.04,1103.0,2.248,1287.0,1193.0,0.0,1.08,95.78,2.95,0.0,46.15,2,0,2,8.0,20.0,0.0,1.0,0.0,1,95.0,0.991,246.4,0.482,0.52,0.482,0.98,0.938,0.607,1483.04,13.614285714285714,1.3443040000000002,4.784,0.482
251215,Karjan,Karjan,22.053736,73.127378,30405.0,6473.0,28.63,0.448,Medium (Mitigation),13621.44,0.0,,0.0,0.0,,,,,,,0,0,0,0.0,,0.0,0.0,0.0,0,25.0,1.909,120.0,0.651,0.51,0.651,0.02,0.388,0.286,13621.44,286.29999999999995,0.896,0.0,0.0
520999,Mandala,Dabhoi,22.082633,73.328643,3427.0,794.0,53.02,0.534,Medium (Mitigation),1830.018,1879.0,1.824,1782.0,1645.0,7.03,1.6,87.17,0.0,3.78,45.05,3,1,2,10.0,30.0,0.0,1.0,0.0,1,90.0,0.407,244.8,0.522,0.49,0.522,0.98,0.895,0.574,1830.018,17.103225806451615,0.9740160000000001,5.34,0.522
520998,Parikha,Dabhoi,22.082741,73.291885,1131.0,253.0,48.28,0.429,Medium (Mitigation),485.199,666.0,1.698,586.0,545.0,0.0,8.87,87.07,0.0,3.01,56.82,2,0,2,15.0,25.0,0.0,1.0,0.0,1,90.0,1.065,120.0,0.424,0.5,0.424,0.044,0.391,0.286,485.199,22.99047619047619,0.7284419999999999,6.435,0.424
520973,Nada,Dabhoi,22.131256,73.375066,1826.0,462.0,52.52,0.482,Medium (Mitigation),880.132,1044.0,1.749,967.0,859.0,7.94,1.82,83.44,0.0,5.84,16.63,3,1,0,5.0,35.0,0.0,1.0,1.0,1,90.0,3.692,247.2,0.293,0.49,0.293,0.98,0.901,0.573,880.132,16.941935483870967,0.843018,2.41,0.293
520979,Sejpura,Dabhoi,22.122262,73.298782,421.0,97.0,83.37,0.561,Medium (Mitigation),236.181,233.0,1.807,217.0,204.0,2.59,4.31,87.07,0.0,6.03,100.0,2,0,0,12.0,30.0,0.0,1.0,0.0,0,92.5,0.85,243.2,0.487,0.5,0.487,0.98,0.941,0.621,236.181,39.7,1.013727,6.732000000000001,0.0
520982,Tharvasa,Dabhoi,22.112532,73.392616,731.0,151.0,38.99,0.542,Medium (Mitigation),396.20200000000006,340.0,2.15,385.0,346.0,0.0,0.0,89.71,0.0,5.59,98.36,3,0,0,3.0,45.0,0.0,1.0,1.0,1,92.5,2.08,247.2,0.404,0.51,0.404,0.98,0.909,0.586,396.20200000000006,12.57741935483871,1.1653,1.6260000000000001,0.404
