village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_non_agri_builtup,pct_barren_uncultivable,total_population,population_density_per_ha,road_connectivity_score,healthcare_access_score,drainage_quality_score,tapwater_treated,tubewell_borehole,nearest_town_dist_km,district_hq_dist_km,flood_hazard_score_FROM_MODEL1,landslide_susceptibility_score_FROM_MODEL4,buildable_area_ha_EXTERNAL_TOFILL,water_supply_capacity_lpd_EXTERNAL_TOFILL,protected_forest_wetland_overlap_EXTERNAL_TOFILL,land_ownership_status_EXTERNAL_TOFILL,land_acquisition_feasibility_EXTERNAL_TOFILL,employment_market_access_EXTERNAL_TOFILL,site_suitability_score_TARGET,estimated_carrying_capacity_TARGET,accessibility_score,final_suitability
521027,Sanor,Dabhoi,22.01772,73.454152,638.0,0.0,12.09,1258.0,1.972,2,1,0,0.0,0.0,23.0,58.0,0.443,0.668,223.3,106930.0,0,Private / Mixed,Medium,Moderate,0.745,10048,0.04329004329004329,1.6635850000000003
521031,Bhalodra,Dabhoi,22.010556,73.493043,465.0,0.0,28.39,657.0,1.413,2,0,0,0.0,1.0,25.0,60.0,0.494,0.613,162.8,55845.0,0,Government Revenue Land,High,Moderate,0.735,7326,0.0398406374501992,1.19658
521028,Mandva,Dabhoi,22.001965,73.434328,1161.0,25.47,0.0,2792.0,2.405,3,0,0,0.0,1.0,20.0,50.0,0.423,0.616,406.3,237320.0,0,Private / Mixed,Medium,Moderate,0.91,18283,0.04975124378109452,3.69733
521033,Gamdi,Dabhoi,21.999967,73.472539,339.0,0.0,0.0,138.0,0.407,2,0,1,0.0,1.0,23.0,43.0,0.49,0.584,118.6,11730.0,0,Private / Mixed,Medium,Moderate,0.699,5337,0.04329004329004329,0.8290139999999999
521029,Fulwadi,Dabhoi,22.007016,73.452339,429.0,3.97,24.53,593.0,1.382,3,0,0,0.0,1.0,20.0,50.0,0.397,0.627,150.1,50405.0,0,Government Revenue Land,High,Moderate,0.917,6754,0.04975124378109452,1.3764170000000002
521034,Chandod,Dabhoi,21.991799,73.460127,65.0,6.15,69.23,3019.0,46.446,3,1,1,0.0,1.0,20.0,50.0,0.519,0.594,22.8,256615.0,0,Government Revenue Land,High,Moderate,0.71,1026,0.04975124378109452,0.16188
521219,Nana Karala,Sinor,22.018617,73.417563,541.0,3.33,1.48,1173.0,2.168,1,1,2,0.0,1.0,14.0,50.0,0.288,0.648,189.4,99705.0,0,Private / Mixed,Medium,High,0.652,8523,0.07092198581560284,1.2348880000000002
521234,Satisana,Sinor,22.001769,73.406543,671.0,6.86,1.94,937.0,1.396,3,0,2,0.0,1.0,16.0,52.0,0.362,0.648,234.8,79645.0,0,Private / Mixed,Medium,Moderate,0.926,10566,0.06211180124223602,2.1742480000000004
521032,Baglipura,Dabhoi,22.003732,73.504446,91.0,0.0,4.44,422.0,4.637,2,1,0,0.0,1.0,20.0,53.0,0.443,0.604,31.8,35870.0,0,Private / Mixed,Medium,Moderate,0.597,1431,0.04975124378109452,0.18984600000000001
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,665.0,5.11,15.34,1347.0,2.026,2,0,0,0.0,0.0,10.0,40.0,0.532,0.574,232.7,114495.0,0,Government Revenue Land,High,High,0.728,10471,0.09900990099009901,1.694056
