village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,population_density_per_ha,drainage_quality_score,road_connectivity_score,healthcare_access_score,surface_water_exposure,flood_hazard_score_FROM_MODEL1,erosion_risk_score_FROM_MODEL2,cloudburst_exceedance_probability_FROM_MODEL3,landslide_susceptibility_score_FROM_MODEL4,exposure_score_TARGET,vulnerability_score_TARGET,composite_risk_score_TARGET,priority_category_TARGET,hazard_diversity,max_hazard,exposure_score_calc,risk_category,red_zone_priority
519723,Raipura Chhatrapura,Desar,22.665258,73.347779,426.0,98.0,1.64,0.877,0,2,0,1,0.455,0.98,0.9,0.583,0.555,0.307,0.537,Medium (Mitigation),0.25075419571099233,0.98,3.73602,Moderate,228.762
519739,Gulabpura Shihora,Savli,22.632917,73.293216,581.0,125.0,0.0,2.441,1,2,0,1,0.544,0.98,0.902,0.583,0.653,0.3,0.575,Medium (Mitigation),0.2208383647225575,0.98,14.18221,Moderate,334.075
519744,Gokalpura Ganeshpura,Savli,22.617289,73.293158,588.0,170.0,0.0,1.633,1,2,0,1,0.472,0.98,0.918,0.593,0.602,0.3,0.551,Medium (Mitigation),0.24678921505338655,0.98,9.602039999999999,Moderate,323.988
519743,Parthampura Shihora,Savli,22.614948,73.270947,2363.0,492.0,15.91,2.864,1,2,1,1,0.547,0.98,0.933,0.602,0.679,0.214,0.56,Medium (Mitigation),0.2225166660424937,0.98,67.67631999999999,Moderate,1323.2800000000002
519754,Dungripura Shihora,Savli,22.603431,73.264854,490.0,125.0,0.0,2.832,0,2,0,1,0.454,0.98,0.897,0.583,0.677,0.3,0.559,Medium (Mitigation),0.2504429409399807,0.98,13.876799999999998,Moderate,273.91
519820,Vemar,Savli,22.469814,73.281217,1971.0,403.0,19.74,2.355,1,2,0,0,0.461,0.98,0.932,0.603,0.147,0.379,0.483,Medium (Mitigation),0.25232915011944224,0.98,46.417049999999996,Moderate,951.9929999999999
519928,Bodidra,Vaghodia,22.478356,73.379884,1047.0,236.0,10.98,1.796,1,2,0,1,0.539,0.98,0.896,0.583,0.612,0.344,0.578,Medium (Mitigation),0.22107690969434143,0.98,18.80412,Moderate,605.1659999999999
519934,Paldi,Vaghodia,22.455265,73.359683,1260.0,249.0,29.05,2.199,1,2,1,1,0.537,0.98,0.863,0.562,0.637,0.266,0.554,Medium (Mitigation),0.22025818183819337,0.98,27.707399999999996,Moderate,698.0400000000001
519933,Asoj,Vaghodia,22.458691,73.390985,1952.0,420.0,24.59,3.06,1,3,1,1,0.775,0.039,0.388,0.286,0.691,0.098,0.406,Medium (Mitigation),0.30602287496198716,0.775,59.7312,Moderate,792.5120000000001
253247,Savli,Savli,22.568753,73.224165,18467.0,3608.0,28.63,2.3600000000000003,0,0,0,0,0.452,0.02,0.391,0.286,0.148,0.7,0.404,Medium (Mitigation),0.1909020254825321,0.452,435.82120000000003,Moderate,7460.668000000001
519688,Udalpur,Desar,22.802194,73.396022,859.0,167.0,22.35,2.197,1,3,1,1,0.557,0.98,0.884,0.572,0.637,0.089,0.509,Medium (Mitigation),0.21585238011196448,0.98,18.87223,Moderate,437.231
519691,Jambu Goral,Desar,22.775084,73.333488,4203.0,870.0,6.71,2.972,0,2,1,1,0.492,0.98,0.892,0.572,0.686,0.177,0.531,Medium (Mitigation),0.2382491692885133,0.98,124.91316,Moderate,2231.793
519692,Varsada,Desar,22.762475,73.300533,8683.0,1762.0,7.16,4.139,2,3,1,1,0.386,0.98,0.902,0.584,0.759,0.05,0.486,Medium (Mitigation),0.2772363612515501,0.98,359.38937000000004,Moderate,4219.938
519701,Vejpur,Desar,22.742463,73.36421,3511.0,800.0,37.85,1.258,2,2,1,1,0.371,0.98,0.934,0.602,0.579,0.301,0.526,Medium (Mitigation),0.2881601117434542,0.98,44.16838,Moderate,1846.786
519693,Waghpura,Desar,22.760329,73.26441,208.0,37.0,0.0,2.419,1,2,0,1,0.52,0.98,0.865,0.561,0.651,0.3,0.564,Medium (Mitigation),0.22610985530636796,0.98,5.0315199999999995,Moderate,117.31199999999998
519694,Tansiya,Desar,22.750929,73.274869,917.0,149.0,0.0,5.955,0,2,0,0,0.472,0.98,0.851,0.552,0.372,0.3,0.495,Medium (Mitigation),0.2410620597826764,0.98,54.60735,Moderate,453.915
519699,Desar,Desar,22.724372,73.31478,6396.0,1270.0,10.3,3.74,2,2,1,1,0.484,0.98,0.868,0.573,0.734,0.191,0.541,Medium (Mitigation),0.23569241962071388,0.98,239.21040000000002,Moderate,3460.2360000000003
519695,Himmatpura,Desar,22.742906,73.278312,1095.0,245.0,0.0,4.086,0,2,0,0,0.417,0.98,0.882,0.571,0.255,0.3,0.464,Medium (Mitigation),0.2630773016941345,0.98,44.7417,Moderate,508.08000000000004
519696,Dungripura I,Desar,22.739024,73.271448,1110.0,210.0,0.0,6.201,0,2,0,0,0.487,0.98,0.867,0.562,0.388,0.3,0.504,Medium (Mitigation),0.23692333499819443,0.98,68.83109999999999,Moderate,559.44
519700,Valavav,Desar,22.723502,73.331573,904.0,185.0,27.88,1.837,1,3,1,1,0.55,0.98,0.939,0.603,0.615,0.112,0.517,Medium (Mitigation),0.222810831573931,0.98,16.606479999999998,Moderate,467.368
519697,Intvad,Desar,22.7274,73.271766,1693.0,353.0,2.78,2.072,0,2,1,1,0.466,0.98,0.874,0.569,0.63,0.161,0.507,Medium (Mitigation),0.24400324451394767,0.98,35.07896,Moderate,858.351
519702,Jesar Gopari,Desar,22.707522,73.377173,1881.0,437.0,5.79,4.116,1,2,1,0,0.554,0.98,0.917,0.582,0.257,0.173,0.461,Medium (Mitigation),0.22147742548621066,0.98,77.42195999999998,Moderate,867.1410000000001
519704,Kadachhala,Desar,22.70282,73.329977,1724.0,387.0,12.47,2.665,0,3,0,1,0.515,0.98,0.924,0.592,0.667,0.2,0.544,Medium (Mitigation),0.23333434523590108,0.98,45.9446,Moderate,937.8560000000001
519703,Vaktapura,Desar,22.698117,73.353822,1184.0,227.0,0.51,3.044,1,2,1,0,0.57,0.98,0.878,0.562,0.19,0.152,0.44,Medium (Mitigation),0.2136999454063259,0.98,36.04096,Moderate,520.96
519705,Manekla,Desar,22.704202,73.274686,572.0,118.0,0.0,4.175,0,2,0,1,0.485,0.98,0.883,0.571,0.761,0.3,0.58,Medium (Mitigation),0.2388965954829272,0.98,23.881,Moderate,331.76
519706,Moti Varnoli,Desar,22.692163,73.274425,1388.0,301.0,9.87,8.785,0,2,1,0,0.523,0.98,0.902,0.592,0.549,0.189,0.517,Medium (Mitigation),0.22545860669607035,0.98,121.9358,Moderate,717.596
519712,Pipalchhat Vanto,Desar,22.694689,73.38464,310.0,70.0,0.0,3.647,1,2,0,1,0.517,0.98,0.897,0.584,0.728,0.3,0.583,Medium (Mitigation),0.22820531691147486,0.98,11.3057,Moderate,180.73
519707,Nani Varnoli,Desar,22.691971,73.291851,263.0,69.0,3.8,1.06,0,2,0,1,0.498,0.98,0.93,0.6,0.566,0.315,0.556,Medium (Mitigation),0.23894769302087854,0.98,2.7878000000000003,Moderate,146.228
519711,Dolatpura,Desar,22.692905,73.367228,484.0,122.0,27.07,3.585,1,2,0,1,0.532,0.98,0.898,0.583,0.724,0.408,0.618,Medium (Mitigation),0.2237593573462348,0.98,17.351399999999998,Moderate,299.112
519713,Rampuri Narpuri,Desar,22.6889,73.381596,508.0,110.0,0.0,6.35,1,2,0,1,0.484,0.98,0.886,0.572,0.897,0.3,0.608,Medium (Mitigation),0.2396629577830778,0.98,32.257999999999996,Moderate,308.864
519708,Chhalier,Desar,22.690042,73.310529,4027.0,859.0,5.31,4.941,0,2,1,1,0.549,0.98,0.895,0.582,0.809,0.171,0.568,Medium (Mitigation),0.21797629840573646,0.98,198.97406999999998,Moderate,2287.336
519710,Ghemalpura,Desar,22.688546,73.3522,404.0,95.0,12.38,3.483,0,2,0,1,0.527,0.98,0.868,0.563,0.718,0.35,0.594,Medium (Mitigation),0.22402455222586654,0.98,14.07132,Moderate,239.976
519709,Vankaneda,Desar,22.689375,73.342643,1543.0,338.0,3.05,6.919,1,3,0,0,0.523,0.98,0.885,0.572,0.432,0.162,0.482,Medium (Mitigation),0.22652299368202486,0.98,106.76017,Moderate,743.726
519718,Rajpur,Desar,22.681284,73.285408,578.0,126.0,0.0,1.628,0,2,0,1,0.445,0.98,0.878,0.57,0.602,0.3,0.539,Medium (Mitigation),0.2521089380935683,0.98,9.409839999999999,Moderate,311.54200000000003
519726,Pipalchhat,Desar,22.683959,73.394569,738.0,156.0,38.48,6.417,1,2,0,1,0.495,0.98,0.936,0.602,0.901,0.454,0.665,High (Relocation Priority),0.24109662654905262,0.98,47.35746,High,490.77000000000004
519714,Vadiya Pandu,Desar,22.681779,73.372321,226.0,47.0,2.21,1.548,0,2,0,0,0.53,0.98,0.926,0.594,0.097,0.309,0.466,Medium (Mitigation),0.22831776102616283,0.98,3.4984800000000003,Moderate,105.316
519715,Rajupura,Desar,22.678101,73.357688,988.0,216.0,31.58,4.595,1,2,1,1,0.568,0.98,0.891,0.577,0.787,0.276,0.598,Medium (Mitigation),0.21273614330119522,0.98,45.398599999999995,Moderate,590.824
519716,Limdanu Muvadu,Desar,22.675546,73.343148,260.0,56.0,8.46,2.6,0,3,0,1,0.579,0.98,0.87,0.572,0.662,0.184,0.546,Medium (Mitigation),0.2067403766402038,0.98,6.76,Moderate,141.96
519725,Pandu,Desar,22.67458,73.381692,1911.0,361.0,12.04,7.996,1,2,1,0,0.57,0.98,0.906,0.583,0.5,0.198,0.52,Medium (Mitigation),0.21381046902962136,0.98,152.80356,Moderate,993.72
519727,Sanpiya,Desar,22.676801,73.404608,814.0,159.0,0.0,5.5,1,2,0,0,0.566,0.98,0.94,0.603,0.344,0.3,0.523,Medium (Mitigation),0.21793328489853647,0.98,44.77,Moderate,425.72200000000004
519719,Pratappura,Desar,22.67092,73.295452,1904.0,399.0,1.58,9.665,0,2,0,1,0.468,0.98,0.936,0.603,0.98,0.306,0.63,Medium (Mitigation),0.25072345323084555,0.98,184.0216,Moderate,1199.52
519698,Nani Varnoli Vanto,Desar,22.711908,73.279058,390.0,75.0,2.82,3.786,0,2,0,1,0.51,0.98,0.848,0.55,0.737,0.311,0.58,Medium (Mitigation),0.22874148435879893,0.98,14.7654,Moderate,226.2
519717,Kalyan Patelnu Muvadu,Desar,22.67911,73.317626,218.0,46.0,0.0,1.033,1,2,0,1,0.543,0.98,0.904,0.582,0.565,0.3,0.557,Medium (Mitigation),0.22186238227033142,0.98,2.25194,Moderate,121.42600000000002
519776,Singaniya,Savli,22.515372,73.408679,302.0,70.0,11.26,1.405,1,2,0,0,0.511,0.98,0.913,0.593,0.088,0.345,0.47,Medium (Mitigation),0.23183093696341164,0.98,4.2431,Moderate,141.94
519775,Khakhariya,Savli,22.541527,73.404569,2023.0,432.0,24.47,2.915,1,3,1,0,0.386,0.98,0.866,0.56,0.182,0.098,0.379,Low (Monitoring),0.27333495934475704,0.98,58.97045,Low,766.717
519929,Rajpura,Vaghodia,22.49415,73.408481,2277.0,469.0,2.46,5.152,1,2,1,1,0.488,0.98,0.915,0.593,0.822,0.16,0.556,Medium (Mitigation),0.2403289412451193,0.98,117.31104,Moderate,1266.0120000000002
519930,Sarnej,Vaghodia,22.479316,73.412146,2297.0,482.0,26.86,3.617,1,2,0,0,0.463,0.98,0.944,0.614,0.226,0.407,0.51,Medium (Mitigation),0.252587113685556,0.98,83.08248999999999,Moderate,1171.47
519932,Hansapura,Vaghodia,22.464653,73.405246,1216.0,266.0,9.46,6.989,1,3,0,1,0.576,0.98,0.884,0.572,0.937,0.188,0.603,Medium (Mitigation),0.21038060747131618,0.98,84.98624,Moderate,733.2479999999999
519931,Khandiwada,Vaghodia,22.45873,73.420955,1033.0,220.0,23.81,4.591,1,2,1,1,0.501,0.98,0.886,0.573,0.787,0.245,0.573,Medium (Mitigation),0.23368497312978143,0.98,47.42503000000001,Moderate,591.909
519729,Kaslapura,Desar,22.661765,73.412087,758.0,162.0,9.37,2.641,1,2,0,0,0.494,0.98,0.917,0.593,0.165,0.337,0.479,Medium (Mitigation),0.23868389137099305,0.98,20.01878,Moderate,363.082
519689,Tulsigam,Desar,22.772278,73.398801,1546.0,303.0,57.96,1.105,1,2,0,1,0.396,0.98,0.95,0.614,0.569,0.532,0.602,Medium (Mitigation),0.2803640490505157,0.98,17.083299999999998,Moderate,930.692
519690,Vachchhesar,Desar,22.764564,73.401582,2695.0,516.0,18.63,4.891,1,2,1,1,0.353,0.98,0.936,0.603,0.806,0.225,0.545,Medium (Mitigation),0.29587046715299814,0.98,131.81245,Moderate,1468.775
519728,Mokampura,Desar,22.670578,73.41003,795.0,170.0,10.94,5.599,1,2,0,0,0.518,0.98,0.922,0.593,0.35,0.344,0.524,Medium (Mitigation),0.23159933074169278,0.98,44.51205,Moderate,416.58000000000004
