village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_non_agri_builtup,pct_barren_uncultivable,total_population,population_density_per_ha,road_connectivity_score,healthcare_access_score,drainage_quality_score,tapwater_treated,tubewell_borehole,nearest_town_dist_km,district_hq_dist_km,flood_hazard_score_FROM_MODEL1,landslide_susceptibility_score_FROM_MODEL4,buildable_area_ha_EXTERNAL_TOFILL,water_supply_capacity_lpd_EXTERNAL_TOFILL,protected_forest_wetland_overlap_EXTERNAL_TOFILL,land_ownership_status_EXTERNAL_TOFILL,land_acquisition_feasibility_EXTERNAL_TOFILL,employment_market_access_EXTERNAL_TOFILL,site_suitability_score_TARGET,estimated_carrying_capacity_TARGET
520978,Chhatral,Dabhoi,22.109304,73.290473,548.0,0.91,2.19,1170.0,2.135,2,1,2,0.0,1.0,15.0,45.0,0.541,0.593,191.8,99450.0,0,Private / Mixed,Medium,Moderate,0.722,8631
520977,Khanpur,Dabhoi,22.11699,73.276368,426.0,0.0,19.01,918.0,2.155,2,0,1,0.0,1.0,19.0,25.0,0.445,0.614,149.1,78030.0,0,Government Revenue Land,High,Moderate,0.751,6709
520994,Menpura,Dabhoi,22.106381,73.232355,447.0,10.51,0.0,1048.0,2.345,2,0,2,0.0,1.0,22.0,29.0,0.416,0.63,156.4,89080.0,0,Private / Mixed,Medium,Moderate,0.76,7038
520993,Kunvarpura,Dabhoi,22.102555,73.268697,289.0,5.19,2.77,482.0,1.668,0,0,1,0.0,0.0,20.0,32.0,0.457,0.606,101.1,40970.0,0,Private / Mixed,Medium,Moderate,0.384,4549
521128,Bamangam,Karjan,22.103873,73.192831,725.0,6.56,3.98,1884.0,2.599,3,1,1,0.0,1.0,9.0,25.0,0.507,0.598,253.7,160140.0,0,Private / Mixed,Medium,High,0.883,11416
519905,Samsabad,Vadodara Rural,22.120986,73.265597,617.0,0.71,2.32,801.0,1.298,2,0,1,0.0,1.0,21.0,21.0,0.363,0.615,216.0,68085.0,0,Private / Mixed,Medium,Moderate,0.781,9720
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,235.0,12.29,0.0,394.0,1.677,2,0,0,0.0,0.0,8.0,36.0,0.531,0.563,82.2,33490.0,0,Private / Mixed,Medium,High,0.639,3699
521020,Manpur,Dabhoi,22.05,73.448552,186.0,0.0,11.83,371.0,1.995,2,0,0,0.0,1.0,14.0,48.0,0.558,0.578,65.1,31535.0,0,Private / Mixed,Medium,High,0.605,2929
521023,Akoti,Dabhoi,22.041523,73.490974,501.0,0.0,8.18,1091.0,2.178,3,0,0,0.0,1.0,10.0,40.0,0.416,0.606,165.2,92735.0,0,Private / Mixed,Medium,High,0.914,7433
521001,Sitpur,Dabhoi,22.08057,73.471272,943.0,0.0,0.0,1813.0,1.923,3,1,0,0.0,1.0,8.0,43.0,0.497,0.587,330.0,154105.0,0,Private / Mixed,Medium,High,0.888,14850
