village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5,urgency_score
520983,Boriyad,Dabhoi,22.120655,73.460479,1024.0,226.0,70.7,0.633,Medium (Mitigation),648.192
520988,Dharmpuri,Dabhoi,22.10525,73.445468,1732.0,390.0,57.45,0.584,Medium (Mitigation),1011.4879999999999
520986,Juni Mangrol,Dabhoi,22.104319,73.475881,475.0,102.0,23.79,0.595,Medium (Mitigation),282.625
251213,Dabhoi,Dabhoi,22.132821,73.43051,51240.0,10259.0,28.63,0.458,Medium (Mitigation),23467.920000000002
521017,Kayavarohan,Dabhoi,22.075851,73.250283,8409.0,1899.0,34.37,0.517,Medium (Mitigation),4347.453
520995,Puniyad,Dabhoi,22.100616,73.213227,1544.0,322.0,34.72,0.574,Medium (Mitigation),886.256
520992,Kothara,Dabhoi,22.101065,73.306994,824.0,185.0,60.44,0.53,Medium (Mitigation),436.72
520990,Sathod,Dabhoi,22.088947,73.380113,3682.0,788.0,46.44,0.53,Medium (Mitigation),1951.46
520997,Sultanpura,Dabhoi,22.081722,73.275647,559.0,111.0,48.48,0.529,Medium (Mitigation),295.711
520996,Fofaliya,Dabhoi,22.077858,73.207523,985.0,199.0,37.56,0.642,Medium (Mitigation),632.37
521015,Pisai,Dabhoi,22.065104,73.353468,1396.0,326.0,44.48,0.502,Medium (Mitigation),700.792
521014,Shirola,Dabhoi,22.056849,73.383541,1599.0,356.0,23.7,0.559,Medium (Mitigation),893.8410000000001
521016,Karmal,Dabhoi,22.058746,73.302368,1401.0,333.0,47.39,0.577,Medium (Mitigation),808.377
521018,Lingsthali,Dabhoi,22.042229,73.252039,1935.0,447.0,43.93,0.621,Medium (Mitigation),1201.635
521019,Bananj,Dabhoi,22.024348,73.233382,835.0,197.0,62.87,0.612,Medium (Mitigation),511.02
521143,Dhanora,Karjan,22.081782,73.187754,741.0,162.0,29.28,0.588,Medium (Mitigation),435.70799999999997
521144,Gandhara,Karjan,22.053571,73.215055,1828.0,413.0,33.04,0.541,Medium (Mitigation),988.9480000000001
521145,Ganpatpura,Karjan,22.055872,73.196843,1466.0,304.0,50.82,0.425,Medium (Mitigation),623.05
521156,Dhavat,Karjan,22.033506,73.18218,2340.0,539.0,47.44,0.564,Medium (Mitigation),1319.7599999999998
521157,Kurali,Karjan,22.024655,73.212051,1924.0,459.0,59.56,0.518,Medium (Mitigation),996.6320000000001
521158,Vemar,Karjan,22.001203,73.236051,2655.0,570.0,52.32,0.541,Medium (Mitigation),1436.355
521160,Kasampur,Karjan,22.010784,73.197272,601.0,143.0,56.41,0.643,Medium (Mitigation),386.443
521159,Kothav,Karjan,22.000365,73.216065,998.0,198.0,33.07,0.492,Medium (Mitigation),491.016
521172,Nishaliya,Karjan,21.994476,73.203651,533.0,114.0,51.59,0.61,Medium (Mitigation),325.13
521171,Choranda,Karjan,21.988212,73.178437,3674.0,731.0,23.84,0.58,Medium (Mitigation),2130.92
521217,Sandha,Sinor,22.051567,73.333742,714.0,165.0,41.88,0.538,Medium (Mitigation),384.132
521218,Damnagar,Sinor,22.048448,73.35436,587.0,134.0,42.25,0.571,Medium (Mitigation),335.17699999999996
521216,Garadi,Sinor,22.046886,73.313492,1223.0,242.0,12.76,0.467,Medium (Mitigation),571.1410000000001
521215,Nana Habipura,Sinor,22.045817,73.288605,771.0,171.0,43.06,0.596,Medium (Mitigation),459.51599999999996
521225,Achisara,Sinor,22.032329,73.319689,937.0,212.0,45.57,0.586,Medium (Mitigation),549.082
521222,Puniyad,Sinor,22.034808,73.362022,1426.0,343.0,45.65,0.65,Medium (Mitigation),926.9
521221,Anandi,Sinor,22.027457,73.377876,1470.0,332.0,42.86,0.55,Medium (Mitigation),808.5000000000001
521223,Bhekhada,Sinor,22.034538,73.340775,572.0,139.0,53.15,0.518,Medium (Mitigation),296.296
521214,Timbarva,Sinor,22.02638,73.271644,2047.0,504.0,47.19,0.528,Medium (Mitigation),1080.816
521224,Chhanbhoi,Sinor,22.018022,73.343451,817.0,203.0,62.79,0.675,High (Relocation Priority),551.475
521231,Avakhal,Sinor,22.0029,73.3245,3162.0,753.0,45.51,0.437,Medium (Mitigation),1381.794
521232,Malpur,Sinor,22.006701,73.353646,1179.0,246.0,46.99,0.587,Medium (Mitigation),692.073
521226,Tarva,Sinor,22.00933,73.267989,808.0,179.0,68.32,0.515,Medium (Mitigation),416.12
521233,Segva,Sinor,22.006763,73.374721,1414.0,308.0,48.16,0.426,Medium (Mitigation),602.364
521230,Sadhli,Sinor,21.990856,73.297683,6269.0,1284.0,23.91,0.554,Medium (Mitigation),3473.0260000000003
521108,Sampla,Padra,22.092733,72.917623,1449.0,310.0,16.7,0.564,Medium (Mitigation),817.2359999999999
521107,Shanpur,Padra,22.104415,72.950166,1367.0,277.0,11.85,0.492,Medium (Mitigation),672.564
521090,Kanzat,Padra,22.108455,72.889902,4659.0,1005.0,6.48,0.55,Medium (Mitigation),2562.4500000000003
521110,Bhanpur,Padra,22.090872,72.938779,801.0,164.0,2.12,0.573,Medium (Mitigation),458.97299999999996
521111,Vanchhara,Padra,22.075925,72.949723,1460.0,315.0,34.86,0.562,Medium (Mitigation),820.5200000000001
521109,Danoli,Padra,22.069706,72.919621,1017.0,232.0,9.14,0.549,Medium (Mitigation),558.3330000000001
521118,Nedra,Padra,22.052913,72.928131,1030.0,226.0,39.42,0.612,Medium (Mitigation),630.36
